"duration","ResponseId","age","gender","race","edu","attention_check","pids_1","pids_2","pids_3","pids_4","ideology","interest","ft_rep_sup","ft_dem_sup","ft_rep","ft_dem","ft_liberal","ft_conservative","ft_immigrant","ft_feminist","ft_neonazi","outgroup_trust_1","outgroup_trust_2","outgroup_trust_3","outgroup_trust_4","social_distance_1","social_distance_2","social_distance_3","trait_1","trait_2","trait_3","trait_4R","trait_5R","trait_6R","conspiracy_1","conspiracy_2","conspiracy_3","conspiracy_4","conspiracy_5","conspiracy_6","video","partisanship","condition"
268,"R_3I0KpmF6HnN7yqq",44,0,6,4,2,7,7,7,7,0,4,0,88,0,96,100,0,78,94,0,1,1,1,1,1,1,1,1,1,1,7,7,7,5,1,1,1,3,1,1,"Democrat","ANGW"
478,"R_1Kl5mAOIyboJjg8",63,0,6,7,2,3,5,4,2,7,6,51,51,51,51,51,51,51,51,0,6,6,6,6,7,7,7,6,6,4,5,4,3,4,1,1,1,2,1,1,"Republican","HappyW"
1400,"R_2aQbyn7hADlrODP",56,1,6,6,2,6,6,6,5,9,4,85,5,86,7,6,89,51,14,1,4,4,4,4,6,6,6,4,4,4,4,4,4,3,3,2,5,2,2,1,"Republican","ANGW"
425,"R_1jeO93WLOvQHWMT",64,1,6,7,2,5,5,5,5,7,6,57,46,56,36,40,62,51,51,0,4,4,4,4,7,7,7,4,4,5,4,4,3,1,1,3,2,2,2,1,"Republican","ControlW"
513,"R_1qamruI4OJ0f1jk",73,1,6,7,2,6,5,6,4,4,4,20,86,0,89,70,43,51,70,0,2,3,4,4,4,4,4,4,2,2,5,5,4,3,1,2,1,4,2,3,"Democrat","ANXW"
952,"R_3EPYxh4wPqW2o5x",69,1,4,4,2,7,6,6,4,5,6,20,90,9,91,44,61,76,60,10,2,1,4,4,6,4,5,4,2,2,5,4,3,3,4,2,1,3,2,2,"Democrat","ANGW"
446,"R_3P82syP3Te75tY3",56,0,6,7,2,4,3,4,4,1,4,26,95,1,94,91,0,71,85,0,4,3,4,4,6,6,4,4,2,4,6,4,4,2,1,2,1,3,1,2,"Democrat","ControlW"
1545,"R_2VOLzPDIo5OOXg3",81,0,1,6,2,6,6,6,5,9,6,80,25,76,25,37,84,72,61,34,6,5,6,6,6,6,6,6,6,6,2,2,2,3,4,3,4,1,2,2,"Republican","ANXW"
493,"R_10wJ55EQhQkvqRu",68,0,6,5,2,6,5,5,4,4,5,9,69,10,72,68,35,69,70,0,4,3,4,4,4,5,5,4,4,4,5,4,4,1,1,1,1,1,1,1,"Democrat","HappyW"
520,"R_79uKUbH7DELi7Qd",74,0,6,7,2,6,3,3,3,8,4,31,5,46,4,4,81,0,4,1,2,2,2,4,4,2,4,3,3,3,7,6,7,2,4,1,1,3,1,3,"Republican","ANXW"
977,"R_3qPRc5pFQPte8t8",73,0,6,7,2,6,5,7,4,10,5,85,25,90,25,25,90,40,25,1,2,2,2,1,4,4,4,4,2,2,6,6,6,3,4,2,4,4,1,1,"Republican","HappyW"
659,"R_1kFfUfHMt7mKNF7",70,1,6,5,2,1,6,7,5,8,4,73,42,100,2,20,99,13,51,0,3,3,3,2,4,4,4,2,2,3,6,3,3,4,3,3,3,3,2,2,"Republican","ANGW"
743,"R_1n3K5N9oPisLFdJ",30,0,6,3,2,7,6,7,6,10,7,100,25,100,25,100,100,100,25,60,2,2,2,1,4,7,7,6,7,6,7,1,5,4,4,5,4,5,5,5,"Republican","ControlW"
480,"R_1lftfpXpRgiOo6D",23,1,6,6,2,6,6,5,3,5,5,3,99,3,100,91,0,98,99,0,1,1,2,1,6,5,7,5,5,5,7,6,6,1,1,1,1,1,1,5,"Democrat","ControlW"
390,"R_2OUUB08QtdzVFMV",48,0,6,7,2,4,4,4,4,5,6,52,50,51,51,40,51,70,40,1,4,4,4,4,4,4,4,4,4,4,4,4,4,2,1,2,1,2,2,1,"Democrat","ANXW"
210,"R_2QYffpEgKEo9syp",44,1,6,3,2,7,4,4,4,5,4,33,40,28,97,37,46,36,71,34,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,1,"Democrat","ControlW"
619,"R_UWQtZjjkmK7zjwZ",55,1,6,5,2,7,4,7,1,10,7,52,50,63,0,0,75,100,1,0,4,4,3,4,7,7,7,4,3,4,6,4,2,4,4,4,4,3,2,1,"Republican","ANXW"
533,"R_1GJQxl1XDP0Vdcw",64,1,6,6,2,6,6,6,4,8,6,86,52,89,5,51,89,92,45,0,5,5,5,5,7,7,7,5,3,5,5,3,3,1,4,1,2,1,2,1,"Republican","HappyW"
483,"R_2X53iLae6EezEHa",29,1,6,6,2,5,5,4,5,2,3,43,82,54,72,73,47,54,88,0,5,5,5,6,4,4,4,4,4,4,5,4,4,2,2,3,4,3,2,1,"Democrat","HappyW"
373,"R_xmD5C0A7WEy9QA1",27,0,6,6,2,5,5,6,6,7,4,71,32,95,40,21,83,42,44,34,4,4,3,3,4,4,3,4,4,5,5,5,4,2,2,2,4,4,3,1,"Republican","ControlW"
545,"R_BXlcsBUgyqS3Ugp",73,1,6,3,2,5,6,7,5,9,4,69,43,79,52,13,75,3,55,13,5,5,5,5,6,7,7,5,5,5,4,3,3,4,4,2,3,5,1,1,"Republican","ANXW"
610,"R_3D2xkYoIpM3LRUg",32,1,4,6,2,4,5,7,6,7,2,13,85,10,89,71,43,99,62,0,4,4,2,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,"Democrat","ControlW"
1490,"R_12D1cMW0LjfjwIO",70,1,6,5,2,6,5,1,1,5,4,41,19,43,25,15,55,49,38,1,2,4,5,2,6,6,6,5,5,4,5,4,3,1,1,1,4,4,1,1,"Republican","ANXW"
751,"R_eXw2GOwGS4D9QXv",79,0,6,7,2,6,4,6,2,2,7,7,83,0,73,77,46,89,51,0,5,6,4,5,6,6,6,4,2,6,4,5,4,2,1,2,1,3,3,1,"Democrat","ControlW"
779,"R_2PCiNLLHhDkrncH",67,0,3,7,2,5,6,5,2,10,5,94,0,90,0,0,93,15,0,0,3,4,4,4,5,6,6,5,2,4,6,5,4,3,1,1,5,4,1,1,"Republican","ANXW"
868,"R_1rIHfe3WgX96i97",69,0,6,5,2,5,6,6,3,5,4,86,25,71,50,44,60,80,53,0,6,6,6,6,6,6,6,6,3,5,5,4,1,4,1,1,2,1,1,1,"Republican","HappyW"
1077,"R_2fquVcwsVjSuRbH",56,1,6,5,2,7,7,7,5,4,6,62,85,63,88,57,58,81,59,51,3,3,4,4,7,7,7,3,3,3,2,5,2,1,1,1,1,1,1,1,"Democrat","ANGW"
1393,"R_3e9S4KRBVGvbqJD",55,1,6,3,2,4,3,6,2,6,4,87,51,83,20,51,89,85,51,0,6,6,6,2,4,4,4,6,3,6,4,3,3,2,1,2,2,2,1,1,"Republican","ANGW"
468,"R_2cBjgiFcJ7rPwIv",68,1,6,5,2,7,7,7,4,5,4,100,27,88,3,45,46,36,41,3,2,2,2,1,4,4,4,1,2,1,7,6,7,4,4,4,3,4,4,1,"Republican","HappyW"
380,"R_3Hv0U6xZ4rTrPYD",48,1,6,7,2,7,7,7,6,9,7,100,0,99,0,0,100,9,41,0,2,1,1,3,3,2,3,2,1,2,6,7,4,4,5,1,1,4,1,1,"Republican","ANXW"
379,"R_1dlWVRI1Cvsb3Rz",31,1,6,3,2,4,6,4,4,6,4,17,95,68,100,67,71,52,63,45,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,4,"Democrat","ANGW"
337,"R_3LhTpsJBxDleWAl",62,0,6,5,2,6,6,6,5,9,7,100,7,100,7,1,100,65,63,0,5,5,5,5,6,6,6,5,5,5,5,3,4,1,1,1,1,1,1,1,"Republican","ANXW"
569,"R_2qt0z1C8PELMdnI",70,1,6,4,2,6,5,6,2,6,6,46,76,29,78,70,41,68,51,0,5,5,5,5,3,3,3,5,2,5,6,3,4,1,1,1,1,3,1,1,"Democrat","HappyW"
468,"R_33jzmSsnwehaUYh",83,0,6,6,2,4,4,3,4,5,4,51,51,51,41,51,51,51,51,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,2,3,2,3,"Democrat","HappyW"
2249,"R_1irqLW7XNwnEMY3",28,1,6,5,2,6,5,5,6,0,5,7,83,30,95,82,26,65,96,0,5,5,3,2,5,5,5,2,2,6,5,5,6,1,1,1,1,2,1,3,"Democrat","ControlW"
621,"R_3Nzm9lFZgYpLHXR",75,0,6,6,2,7,7,7,7,10,4,100,42,77,52,6,89,80,17,8,5,2,2,2,4,4,4,4,1,3,7,4,4,2,4,1,2,4,1,1,"Republican","ANXW"
538,"R_6zAC5ojsG9UT24V",28,1,6,7,2,4,2,3,4,4,1,44,49,29,44,58,56,24,24,9,4,4,4,4,7,7,7,4,4,4,4,4,4,1,1,1,1,2,1,2,"Republican","ControlW"
652,"R_25tE1SGqHhUU9pB",77,1,6,5,2,6,6,6,4,3,6,5,71,0,71,83,28,52,71,0,4,4,4,4,4,3,4,5,2,4,4,4,4,3,1,4,1,1,3,1,"Democrat","ANGW"
536,"R_s6CsJaUPomKdBU5",53,1,6,3,2,7,7,7,7,10,4,0,58,2,87,1,17,85,81,16,1,1,1,1,4,4,4,1,1,7,7,7,7,3,3,3,3,3,1,3,"Democrat","ANGW"
342,"R_3MAPy648mfJYJUJ",63,1,3,6,2,7,7,7,7,10,6,98,23,99,21,20,99,88,74,3,6,6,6,6,6,6,6,6,6,6,2,2,2,1,1,1,1,1,1,1,"Republican","HappyW"
375,"R_vSmPABYWM5NctVf",58,1,5,7,2,6,6,6,2,5,4,70,51,76,44,36,87,62,67,0,2,3,3,2,5,5,5,4,2,4,7,5,6,4,2,1,1,2,1,1,"Republican","ANGW"
574,"R_27ys5bwT5Z9BHjH",81,0,6,7,2,6,6,6,4,5,6,51,51,75,24,51,51,51,52,2,6,6,6,6,4,4,4,5,3,4,5,4,4,2,2,1,4,1,1,2,"Republican","ControlW"
670,"R_XEUFzl19jD0a413",57,1,6,5,2,7,7,7,3,0,7,83,30,93,24,24,86,100,25,0,5,5,5,5,6,6,6,3,2,5,6,5,5,2,1,2,4,1,1,1,"Republican","ANXW"
640,"R_poQY2U4mPhXTDhf",80,1,6,3,2,6,6,6,4,7,1,82,36,82,47,61,72,63,45,2,4,4,3,4,5,6,5,5,3,4,4,4,4,2,2,2,1,5,2,2,"Republican","ANXW"
1076,"R_1Fs4t72CN1j7lP1",71,1,6,5,2,7,6,6,5,10,7,100,0,80,0,0,100,40,0,15,3,3,4,6,1,3,2,5,2,4,2,4,5,5,3,3,2,4,3,3,"Republican","ControlW"
809,"R_abf4xNUliE9xgaJ",72,0,6,3,2,5,4,5,3,5,4,9,81,2,79,79,19,68,52,0,5,3,4,3,4,5,3,3,3,4,5,7,7,1,1,1,1,1,1,1,"Democrat","ANGW"
2748,"R_xEPSjn3FF2eEI6t",38,1,4,6,2,1,7,7,7,1,5,0,99,0,90,100,6,82,98,0,1,1,1,7,4,1,4,3,1,1,7,7,7,4,1,2,1,4,2,3,"Democrat","ANGW"
392,"R_eXlqG8zPVQUEwyB",71,0,6,5,2,6,6,7,3,3,5,38,86,16,85,93,21,54,52,0,5,4,4,3,6,6,6,4,4,4,3,3,3,2,1,1,1,1,1,2,"Democrat","ControlW"
1395,"R_2t4lh0UTXw0dLHA",89,1,6,5,2,4,4,4,2,5,7,100,1,100,33,38,98,53,33,10,3,3,3,4,4,4,4,1,1,4,4,4,4,4,3,1,3,3,1,3,"Republican","ANXW"
779,"R_vJ5SWXB9zdGYkUx",78,1,6,3,2,6,4,6,2,5,4,51,90,51,90,51,70,90,51,50,6,6,6,6,6,6,6,6,4,6,3,4,2,3,4,1,1,1,1,1,"Democrat","ANGW"
565,"R_2czvWNwZ5kQhhe6",26,1,6,6,2,5,3,5,5,7,3,73,35,76,36,40,74,81,82,1,3,3,3,4,4,4,4,4,5,4,5,4,4,1,1,1,1,1,1,1,"Republican","ControlW"
649,"R_2dKjUOEJQGrlx4s",34,1,6,7,2,6,7,7,7,10,3,92,21,82,16,35,79,60,47,0,5,5,5,4,4,4,6,4,3,3,5,3,3,2,3,2,3,3,1,1,"Republican","HappyW"
838,"R_3lQF6ccnjBBRHDD",39,1,6,5,2,6,7,7,1,2,4,52,68,52,69,81,51,82,82,2,4,4,5,4,5,5,4,4,3,4,5,4,4,2,1,1,1,1,1,1,"Democrat","ANGW"
930,"R_3D7maE4SBHLvwKh",61,1,4,4,2,7,7,7,4,6,4,1,93,1,92,62,39,68,57,0,4,2,3,2,4,4,5,4,1,3,7,7,5,2,1,2,2,4,2,2,"Democrat","ANXW"
263,"R_2f7Mi8CtQqHLcPN",47,1,6,6,2,4,4,4,1,5,2,80,80,35,80,70,70,80,100,0,4,4,4,4,4,4,4,4,4,4,4,4,4,3,1,2,2,2,1,1,"Democrat","ANXW"
495,"R_C4F8OMelkVEWDrH",59,0,6,6,2,5,5,4,4,5,4,52,52,52,52,52,52,45,52,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,1,2,2,1,1,"Republican","ControlW"
529,"R_2uL4ZCt2jJeSpdL",58,0,6,6,2,5,4,3,5,9,7,77,37,58,25,22,90,38,45,1,5,5,6,4,6,7,6,6,2,6,5,4,4,4,2,1,4,1,1,2,"Republican","HappyW"
831,"R_2uqzXy24MTpDv6l",71,0,6,7,2,7,3,5,4,3,7,35,65,15,70,64,39,74,95,0,4,4,4,4,5,5,5,4,3,5,5,5,3,1,1,1,1,1,1,1,"Democrat","ControlW"
595,"R_5cKOgpAkOuSoLu1",80,0,6,4,2,5,5,5,4,5,1,51,51,50,51,51,51,51,51,98,4,4,4,4,4,4,4,4,4,4,4,4,4,3,1,1,1,4,1,1,"Democrat","ANGW"
622,"R_1q85rPtAGulbcQ5",70,0,6,5,2,5,5,7,5,5,7,14,100,0,100,70,51,71,51,0,4,4,4,2,4,4,4,4,2,4,7,5,5,1,1,1,1,2,1,1,"Democrat","HappyW"
750,"R_3fpnyXd3FpKGGMd",67,1,6,6,2,7,6,7,5,0,7,47,91,48,92,91,25,91,96,4,4,4,4,6,5,5,5,4,2,4,3,5,4,3,1,1,1,3,1,2,"Democrat","ControlW"
767,"R_2PtXKLe7pYM1xka",60,1,6,6,2,4,4,4,4,5,3,62,39,62,27,38,51,33,51,13,4,4,4,4,6,7,6,4,4,4,4,4,4,1,1,1,1,1,1,2,"Republican","ANXW"
985,"R_eSgObJZfSOt1Hd7",72,0,6,5,2,6,6,6,4,6,4,83,19,85,25,15,85,36,57,3,5,5,5,5,6,6,6,4,3,5,5,4,4,4,3,4,3,3,2,2,"Republican","ANGW"
1456,"R_1C7NZ7LVshDGcSZ",72,1,6,6,2,6,5,6,5,8,5,47,88,41,87,74,50,63,70,0,5,4,3,5,5,2,4,6,2,5,2,6,5,4,1,1,5,2,1,3,"Democrat","HappyW"
470,"R_1ClQRQAePLZQW9B",65,1,6,6,2,5,6,5,4,3,6,23,75,24,86,77,34,53,70,3,5,4,5,5,6,6,7,5,4,5,5,5,3,2,1,1,1,2,1,1,"Democrat","HappyW"
486,"R_2WAMUlBWGIwQYbM",81,0,6,7,2,1,7,7,7,3,7,0,97,0,100,85,5,94,86,0,5,4,5,5,4,4,4,2,3,4,5,3,3,5,1,4,1,4,1,1,"Democrat","ControlW"
525,"R_ROjukYxmDYnkfp7",59,1,6,3,2,6,6,6,2,5,6,27,70,4,72,75,61,73,75,6,5,5,5,5,7,7,7,5,2,2,7,6,6,2,1,1,1,1,1,1,"Democrat","HappyW"
352,"R_1igmNZTgdKYD8Dk",55,0,6,7,2,4,4,5,4,7,5,76,13,72,7,29,73,50,29,5,2,2,2,2,5,6,6,3,2,2,5,5,4,4,3,2,2,3,2,1,"Republican","ANXW"
3078,"R_2PnGd0Y7m0VsNaF",67,1,4,4,2,7,7,7,6,6,4,5,99,14,96,55,55,86,52,7,1,1,1,1,4,4,4,5,7,3,6,7,7,4,3,1,3,5,2,1,"Democrat","HappyW"
1314,"R_wTBTJvfwcffItdn",80,0,6,5,2,6,6,6,5,0,4,10,100,10,90,90,50,100,100,0,5,5,5,5,5,5,5,4,4,4,5,4,2,3,1,2,1,3,2,4,"Democrat","ANGW"
632,"R_2PuKliFspwUjRRL",63,0,6,6,2,6,3,3,2,7,7,90,90,40,20,50,85,90,30,0,6,6,6,6,6,6,6,6,6,6,1,2,1,1,1,1,1,1,1,3,"Republican","ControlW"
512,"R_11iiQboQKE5ZR1V",54,1,6,6,2,6,6,6,6,4,5,4,81,10,82,77,38,64,66,0,3,4,3,3,5,5,5,4,2,3,6,5,5,1,1,1,1,1,1,1,"Democrat","ANXW"
413,"R_xaxKyph1GsytjCF",49,1,6,6,2,6,6,6,4,8,4,100,0,100,0,0,100,28,29,0,2,2,2,2,4,4,4,2,2,2,6,6,6,3,2,1,3,1,1,2,"Republican","HappyW"
454,"R_1Q57HqkZ2eLZkfq",67,1,6,5,2,4,3,4,2,6,6,59,47,58,45,28,73,43,30,0,6,6,6,6,4,4,4,5,6,5,5,4,3,1,1,1,1,1,1,2,"Republican","ControlW"
333,"R_1GBIEOm4oscO2cn",45,1,6,6,2,6,4,6,6,1,6,35,69,15,90,70,35,80,80,0,4,4,4,3,5,4,5,3,1,5,5,5,3,3,1,1,1,1,1,1,"Democrat","ANGW"
1103,"R_1di5ESkgcmJhZN2",72,0,6,7,2,6,6,6,5,0,7,16,82,19,82,88,26,66,55,8,6,6,6,6,6,6,6,3,2,6,6,6,5,2,1,1,1,1,1,1,"Democrat","ANGW"
2128,"R_2uWH2hjYEdrJ5Ts",71,1,6,6,2,7,5,7,5,10,6,100,10,100,0,20,100,100,20,20,6,6,6,5,7,7,7,6,4,7,3,6,1,2,4,4,5,4,4,1,"Republican","ANXW"
528,"R_1oAcm0GbRnT82Cg",45,1,6,6,2,5,2,5,5,4,6,51,58,39,61,51,51,62,71,0,6,6,6,6,6,6,6,6,3,6,4,2,1,2,1,2,2,3,2,1,"Democrat","HappyW"
774,"R_3M4EtuDHgGmKfxz",76,0,6,5,2,7,6,7,6,9,6,61,25,64,12,14,56,52,43,40,2,2,2,2,4,4,4,2,4,2,6,6,6,3,5,3,3,4,3,2,"Republican","ANGW"
372,"R_1Fh7oDB2i77CCrN",50,0,6,7,2,5,5,5,5,8,6,76,5,73,0,4,87,21,26,0,2,2,2,2,4,4,4,2,1,2,2,2,2,4,4,3,5,4,3,1,"Republican","ControlW"
1074,"R_2EFyWlJejkP2SUF",56,1,6,3,2,7,7,7,6,5,4,0,100,0,100,49,100,47,2,2,1,1,1,1,7,7,7,1,1,1,7,7,7,5,1,5,1,1,1,1,"Democrat","HappyW"
672,"R_23TxG3LJUFuktG3",68,0,6,7,2,3,4,4,3,5,3,36,62,36,63,62,48,72,31,48,5,5,5,5,5,5,5,5,5,5,4,3,3,2,1,2,2,2,2,1,"Democrat","ANXW"
629,"R_4Izaa8F38Tpc95T",51,1,5,6,2,6,5,5,5,8,3,83,31,81,25,16,59,41,54,1,4,4,6,4,6,6,6,6,3,5,3,4,2,3,1,2,3,2,2,1,"Republican","ANGW"
4071,"R_pASvntKZZChcRwt",51,1,6,3,2,4,4,4,4,5,1,12,51,13,61,45,51,31,40,38,1,1,1,1,4,4,4,1,1,1,4,6,7,3,3,3,3,3,3,3,"Democrat","ANXW"
15979,"R_3paJFN9n7K0Njy5",55,1,6,7,2,5,2,3,1,5,7,60,40,60,49,0,80,60,60,0,5,5,5,5,5,5,5,5,5,5,3,5,3,2,2,2,3,1,2,2,"Democrat","ANGW"
384,"R_3MxnYELykJgkbIa",51,1,6,5,2,7,7,7,7,10,7,0,100,0,100,100,0,0,0,0,4,4,4,4,7,7,7,1,1,1,7,7,7,5,5,5,5,5,5,1,"Democrat","ANXW"
571,"R_3KSYlNaDUWOXFbY",46,1,5,3,2,7,7,7,4,10,4,26,96,16,93,26,26,26,53,0,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,4,3,2,1,"Democrat","ControlW"
224,"R_2YAsLgLBKwm7wIJ",37,1,4,5,2,4,4,4,4,5,1,52,51,51,51,51,51,51,51,51,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,"Democrat","HappyW"
320,"R_vrgD74a9YUjAWwF",27,0,3,3,2,6,6,6,6,8,1,57,100,62,100,70,74,1,62,5,5,5,5,5,7,7,7,5,6,6,5,5,5,4,1,4,4,1,4,3,"Democrat","HappyW"
480,"R_26hWUENB7tHkKis",20,0,3,5,2,7,7,6,6,10,5,83,91,96,94,78,69,67,82,78,3,5,4,4,5,7,6,6,6,2,6,4,4,3,4,2,4,5,3,2,"Democrat","ANXW"
898,"R_TbcWmaouoFTBDvr",50,0,6,4,2,5,4,5,2,7,2,51,51,51,51,45,57,45,31,0,6,5,6,6,6,7,6,4,5,5,5,4,3,4,4,4,4,2,2,1,"Republican","ANGW"
335,"R_1GCFQP5nmgl8iwa",32,1,4,5,2,7,4,5,4,5,4,14,88,13,81,46,31,12,35,6,1,1,1,1,4,4,4,2,3,2,3,2,2,4,3,4,4,4,3,1,"Democrat","HappyW"
600,"R_1GHdUvfPe8DHf4o",22,1,5,6,2,3,3,6,6,7,2,51,53,51,63,51,53,58,73,5,3,3,3,3,4,4,4,5,5,5,5,5,5,2,2,3,1,2,2,2,"Democrat","ControlW"
576,"R_1NCVf7TuH7zH0sm",33,0,6,3,2,4,4,4,4,5,3,81,5,79,0,40,22,64,38,0,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,2,"Republican","ANXW"
315,"R_10AdUDE1zB2tWkU",29,1,3,6,2,5,5,5,5,7,5,55,67,56,71,70,61,73,71,56,1,2,3,2,4,4,4,2,2,2,2,5,6,4,3,4,4,3,2,3,"Democrat","ANGW"
